Date,S&P500,NASDAQ,DOWJONES,NIKKEI,HANGSENG,USDINR,USDJPY,USDCNY,INDIAVIX,VIX,CRUDE,GOLD,SILVER,NATGAS,COPPER,WHEAT,UST10Y,DOLLARINDEX
,^GSPC,^IXIC,^DJI,^N225,^HSI,INR=X,JPY=X,CNY=X,^INDIAVIX,^VIX,BZ=F,GC=F,SI=F,NG=F,HG=F,ZW=F,^TNX,DX-Y.NYB
2021-05-25,4188.1298828125,13657.169921875,34312.4609375,28553.98046875,28910.859375,72.83660125732422,108.85099792480469,6.418300151824951,,18.84000015258789,68.6500015258789,1898.0999755859375,28.03700065612793,2.9130001068115234,4.521999835968018,656.5,1.5640000104904175,89.63999938964844
2021-05-26,4195.990234375,13738.0,34323.05078125,28642.189453125,29166.009765625,72.80490112304688,108.802001953125,6.409999847412109,20.8700008392334,17.360000610351562,68.87000274658203,1901.300048828125,27.85300064086914,2.9839999675750732,4.5329999923706055,648.5,1.5740000009536743,90.04000091552734
2021-05-27,4200.8798828125,13736.2802734375,34464.640625,28549.009765625,29113.19921875,72.67250061035156,109.16999816894531,6.390699863433838,19.90999984741211,16.739999771118164,69.45999908447266,1895.699951171875,27.91900062561035,2.9579999446868896,4.666500091552734,676.25,1.6100000143051147,89.97000122070312
2021-05-28,4204.10986328125,13748.740234375,34529.44921875,29149.41015625,29124.41015625,72.68299865722656,109.80899810791016,6.381999969482422,17.399999618530273,16.760000228881836,69.62999725341797,1902.5,27.993000030517578,2.9860000610351562,4.682499885559082,663.5,1.5809999704360962,90.02999877929688
2021-05-31,,,,28860.080078125,29151.80078125,72.39350128173828,109.90699768066406,6.367400169372559,,,,,,,,,,
2021-06-01,4202.0400390625,13736.48046875,34575.30859375,28814.33984375,29468.0,72.48719787597656,109.49299621582031,6.36899995803833,17.389999389648438,17.899999618530273,70.25,1902.9000244140625,28.08300018310547,3.1040000915527344,4.6620001792907715,693.5,1.6150000095367432,89.83000183105469
2021-06-02,4208.1201171875,13756.330078125,34600.37890625,28946.140625,29297.619140625,72.8550033569336,109.49299621582031,6.38070011138916,17.209999084472656,17.479999542236328,71.3499984741211,1907.5,28.18600082397461,3.075000047683716,4.599999904632568,687.5,1.590999960899353,89.9000015258789
2021-06-03,4192.85009765625,13614.509765625,34577.0390625,29058.109375,28966.029296875,72.96510314941406,109.59500122070312,6.380099773406982,15.75,18.040000915527344,71.30999755859375,1871.199951171875,27.459999084472656,3.0409998893737793,4.471499919891357,676.25,1.625,90.5
2021-06-04,4229.89013671875,13814.490234375,34756.390625,28941.51953125,28918.099609375,73.04419708251953,110.26599884033203,6.402699947357178,15.9399995803833,16.420000076293945,71.88999938964844,1889.800048828125,27.878999710083008,3.0969998836517334,4.537499904632568,687.75,1.559999942779541,90.13999938964844
2021-06-07,4226.52001953125,13881.7197265625,34630.23828125,29019.240234375,28787.279296875,72.90969848632812,109.61699676513672,6.3942999839782715,15.569999694824219,16.420000076293945,71.48999786376953,1896.800048828125,28.000999450683594,3.069999933242798,4.534999847412109,680.0,1.569000005722046,89.94999694824219
2021-06-08,4227.259765625,13924.91015625,34599.8203125,28963.560546875,28781.380859375,72.80940246582031,109.27400207519531,6.396299839019775,15.229999542236328,17.06999969482422,72.22000122070312,1892.199951171875,27.71500015258789,3.128000020980835,4.563000202178955,685.0,1.527999997138977,90.08000183105469
2021-06-09,4219.5498046875,13911.75,34447.140625,28860.80078125,28742.630859375,72.97530364990234,109.46900177001953,6.399499893188477,14.75,17.889999389648438,72.22000122070312,1893.199951171875,27.985000610351562,3.128999948501587,4.536499977111816,682.25,1.4889999628067017,90.12000274658203
2021-06-10,4239.18017578125,14020.330078125,34466.23828125,28958.560546875,28738.880859375,72.98529815673828,109.61000061035156,6.386499881744385,15.0,16.100000381469727,72.5199966430664,1894.199951171875,28.014999389648438,3.1489999294281006,4.489999771118164,683.75,1.4589999914169312,90.08000183105469
2021-06-11,4247.43994140625,14069.419921875,34479.6015625,28948.73046875,28842.130859375,73.01229858398438,109.40899658203125,6.392300128936768,14.100000381469727,15.649999618530273,72.69000244140625,1877.4000244140625,28.131000518798828,3.2960000038146973,4.541500091552734,680.75,1.4620000123977661,90.55999755859375
2021-06-14,4255.14990234375,14174.1396484375,34393.75,29161.80078125,,73.23159790039062,109.70899963378906,6.39769983291626,14.720000267028809,16.389999389648438,72.86000061035156,1864.0,28.02400016784668,3.3519999980926514,4.5320000648498535,674.5,1.5010000467300415,90.5199966430664
2021-06-15,4246.58984375,14072.8603515625,34299.328125,29441.30078125,28638.529296875,73.18080139160156,110.04100036621094,6.397200107574463,14.609999656677246,17.020000457763672,73.98999786376953,1854.5,27.679000854492188,3.240000009536743,4.340000152587891,661.5,1.4989999532699585,90.54000091552734
2021-06-16,4223.7001953125,14039.6796875,34033.671875,29291.009765625,28436.83984375,73.3447036743164,110.08399963378906,6.40500020980835,14.869999885559082,18.149999618530273,74.38999938964844,1859.5,27.799999237060547,3.250999927520752,4.392499923706055,662.75,1.569000005722046,91.12999725341797
2021-06-17,4221.85986328125,14161.349609375,33823.44921875,29018.330078125,28558.58984375,73.8240966796875,110.7699966430664,6.396699905395508,15.289999961853027,17.75,73.08000183105469,1773.800048828125,25.8439998626709,3.253000020980835,4.184500217437744,639.0,1.5110000371932983,91.88999938964844
2021-06-18,4166.4501953125,14030.3798828125,33290.078125,28964.080078125,28801.26953125,74.25389862060547,110.32499694824219,6.447400093078613,14.800000190734863,20.700000762939453,73.51000213623047,1767.9000244140625,25.95800018310547,3.2149999141693115,4.162499904632568,662.75,1.4500000476837158,92.2300033569336
2021-06-21,4224.7900390625,14141.48046875,33876.96875,28010.9296875,28489.0,74.1438980102539,110.20099639892578,6.452099800109863,15.0600004196167,17.889999389648438,74.9000015258789,1781.800048828125,26.014999389648438,3.190999984741211,4.1875,661.5,1.4839999675750732,91.86000061035156
2021-06-22,4246.43994140625,14253.26953125,33945.578125,28884.130859375,28309.759765625,74.13520050048828,110.3740005493164,6.46589994430542,14.739999771118164,16.65999984741211,74.80999755859375,1776.300048828125,25.847999572753906,3.257999897003174,4.234499931335449,651.0,1.472000002861023,91.7300033569336
2021-06-23,4241.83984375,14271.73046875,33874.23828125,28874.890625,28817.0703125,74.33219909667969,110.65399932861328,6.480299949645996,15.369999885559082,16.31999969482422,75.19000244140625,1782.300048828125,26.107999801635742,3.3329999446868896,4.330999851226807,661.25,1.4869999885559082,91.80000305175781
2021-06-24,4266.490234375,14369.7099609375,34196.8203125,28875.23046875,28882.4609375,74.24690246582031,111.01200103759766,6.4730000495910645,15.100000381469727,15.970000267028809,75.55999755859375,1775.5999755859375,26.047000885009766,3.4179999828338623,4.311500072479248,651.25,1.4869999885559082,91.81999969482422
2021-06-25,4280.7001953125,14360.3896484375,34433.83984375,29066.1796875,29288.220703125,74.19029998779297,110.9209976196289,6.4710001945495605,13.369999885559082,15.619999885559082,76.18000030517578,1776.5999755859375,26.082000732421875,3.496000051498413,4.298999786376953,637.0,1.5360000133514404,91.80999755859375
2021-06-28,4290.60986328125,14500.509765625,34283.26953125,29048.01953125,29268.30078125,74.21299743652344,110.8219985961914,6.446300029754639,13.399999618530273,15.760000228881836,74.68000030517578,1779.5999755859375,26.218000411987305,3.617000102996826,4.2779998779296875,646.0,1.4780000448226929,91.87999725341797
2021-06-29,4291.7998046875,14528.330078125,34292.2890625,28812.609375,28994.099609375,74.285400390625,110.60299682617188,6.455100059509277,13.0,16.020000457763672,74.76000213623047,1762.800048828125,25.871999740600586,3.630000114440918,4.276500225067139,639.75,1.4800000190734863,92.05000305175781
